ensembl_gene_id	score_D8_platform_deliverability	missingness_D8_platform_deliverability
ENSG00000198793	-0.813169	0
ENSG00000198911	-0.813169	0
ENSG00000204133	1.368362	0
ENSG00000204952	1.368362	0
ENSG00000213398	1.368362	0
ENSG00000232810	1.368362	0
ENSG00000241335	-0.309739	0
ENSG00000244405	-0.813169	0
ENSG00000248099	1.368362	0
ENSG00000254647	1.368362	0
ENSG00000266265	-0.813169	0
ENSG00000275410	-0.813169	0
