ensembl_gene_id	score_D6_mechanism_differentiation	missingness_D6_mechanism_differentiation
ENSG00000197635	-0.698951	0
ENSG00000198793	-1.075597	0
ENSG00000198911	-0.133981	0
ENSG00000204133	1.749251	0
ENSG00000204952	1.749251	0
ENSG00000213398	-0.133981	0
ENSG00000232810	1.749251	0
ENSG00000241335	-0.133981	0
ENSG00000244405	-0.133981	0
ENSG00000248099	1.749251	0
ENSG00000254647	1.184281	0
ENSG00000266265	-0.133981	0
ENSG00000275410	-0.133981	0
